,best,strategy,acq_func,performance,params,xratio,delay,week
0,1,BBvolumeStrategy,ucb,1.512157151,"{'bb_mult_factor': 1.0, 'bb_periods': 2.768711146780662, 'vol_mult_factor_down': 5.0, 'vol_mult_factor_up': 1.0, 'vol_periods': 5.243017189508359}",24.80462179,14.57100415,1
1,1,BBvolumeStrategy,ei,1.234785992,"{'bb_mult_factor': 2.2173629497593113, 'bb_periods': 20.0, 'vol_mult_factor_down': 1.0, 'vol_mult_factor_up': 5.0, 'vol_periods': 11.736687390701556}",19.7641668,27.81900001,1
2,1,BBvolumeStrategy,poi,1.602508607,"{'bb_mult_factor': 3.0223501781903397, 'bb_periods': 2.437184241353699, 'vol_mult_factor_down': 1.433464808616412, 'vol_mult_factor_up': 1.7919525128830247, 'vol_periods': 4.69950501171184}",22.50551984,10.41000342,1
0,1,BBvolumeStrategy,ucb,1.394773522,"{'bb_mult_factor': 1.0, 'bb_periods': 16.06575581123885, 'vol_mult_factor_down': 5.0, 'vol_mult_factor_up': 5.0, 'vol_periods': 20.0}",11.84145127,15.77200413,3
1,1,BBvolumeStrategy,ei,1.628820235,"{'bb_mult_factor': 1.0, 'bb_periods': 9.525208308806619, 'vol_mult_factor_down': 5.0, 'vol_mult_factor_up': 1.0, 'vol_periods': 7.712965229324122}",14.10659969,23.45105124,3
2,1,BBvolumeStrategy,poi,1.498873607,"{'bb_mult_factor': 3.7012385399152192, 'bb_periods': 5.244057101627394, 'vol_mult_factor_down': 3.9774361421111486, 'vol_mult_factor_up': 2.955716150334815, 'vol_periods': 8.373109451620989}",11.68104112,6.025005341,3
0,1,BBvolumeStrategy,ucb,1.299184214,"{'bb_mult_factor': 1.0, 'bb_periods': 7.674136130672227, 'vol_mult_factor_down': 5.0, 'vol_mult_factor_up': 5.0, 'vol_periods': 10.601459046524008}",14.41062304,20.05599904,5
1,1,BBvolumeStrategy,ei,1.237798102,"{'bb_mult_factor': 1.0, 'bb_periods': 7.337900414737076, 'vol_mult_factor_down': 1.0, 'vol_mult_factor_up': 5.0, 'vol_periods': 5.673056077157386}",15.2639562,31.5320425,5
2,1,BBvolumeStrategy,poi,1.974594798,"{'bb_mult_factor': 1.7087202651237008, 'bb_periods': 9.47241412541062, 'vol_mult_factor_down': 2.1037231768614357, 'vol_mult_factor_up': 2.2281772639489272, 'vol_periods': 2.9886278232027044}",19.16942147,6.877000093,5
0,1,BBvolumeStrategy,ucb,1.404687608,"{'bb_mult_factor': 1.642597043893565, 'bb_periods': 14.427110374502334, 'vol_mult_factor_down': 2.403485125047479, 'vol_mult_factor_up': 4.941980457125478, 'vol_periods': 19.85268327787635}",17.15003501,18.92509294,7
