,best,strategy,acq_func,performance,params,xratio,delay,week
0,1,ChandelierExitStrategy,ucb,1.261755339,"{'chand_window': 11.70972520840654, 'mean': 22.832469378036276, 'mult_high': 0.01, 'mult_low': 0.01}",25.83192987,19.43004441,1
1,1,ChandelierExitStrategy,ei,1.474774245,"{'chand_window': 14.514091970563287, 'mean': 27.110763821856267, 'mult_high': 0.6704221349322126, 'mult_low': 4.966925246847369}",19.8219957,16.58055472,1
2,1,ChandelierExitStrategy,poi,1.087992371,"{'chand_window': 15.0, 'mean': 10.0, 'mult_high': 0.01, 'mult_low': 0.01}",16.7951333,25.32990766,1
0,1,ChandelierExitStrategy,ucb,1.186390248,"{'chand_window': 5.0, 'mean': 29.999999999999964, 'mult_high': 5.0, 'mult_low': 0.01}",12.46486901,16.94541359,3
1,1,ChandelierExitStrategy,ei,1.213192098,"{'chand_window': 8.635866686104535, 'mean': 30.0, 'mult_high': 5.0, 'mult_low': 0.01}",11.81855201,9.125000477,3
2,1,ChandelierExitStrategy,poi,1.434763244,"{'chand_window': 14.875264818044656, 'mean': 26.978682317274142, 'mult_high': 1.371731798033841, 'mult_low': 3.0027772345919157}",12.07732979,15.17700076,3
0,1,ChandelierExitStrategy,ucb,2.263338075,"{'chand_window': 9.605238769532933, 'mean': 28.483316007584396, 'mult_high': 5.0, 'mult_low': 0.01}",13.92998133,12.04704237,5
1,1,ChandelierExitStrategy,ei,1.124914406,"{'chand_window': 8.445723607148224, 'mean': 24.50744593342533, 'mult_high': 0.01, 'mult_low': 0.41950958080033235}",19.04240529,21.83995485,5
2,1,ChandelierExitStrategy,poi,1.119499167,"{'chand_window': 5.0, 'mean': 13.822661732305475, 'mult_high': 5.0, 'mult_low': 1.4351062524450109}",155.663085,19.95695496,5
0,1,ChandelierExitStrategy,ucb,1.198919403,"{'chand_window': 8.461930662869253, 'mean': 30.0, 'mult_high': 5.0, 'mult_low': 0.01}",27.06430971,15.78899884,7
1,1,ChandelierExitStrategy,ei,1.04608046,"{'chand_window': 12.187251569494716, 'mean': 12.689893919785808, 'mult_high': 2.4940843149114458, 'mult_low': 5.0}",20.90173536,32.98530698,7
2,1,ChandelierExitStrategy,poi,1.67453255,"{'chand_window': 5.253006416649405, 'mean': 22.117926295548855, 'mult_high': 3.2003736385031307, 'mult_low': 0.02628754526312651}",22.06146695,27.01900101,7
0,1,ChandelierExitStrategy,ucb,1.202145369,"{'chand_window': 13.093931676613936, 'mean': 28.268062012406197, 'mult_high': 0.012167411394425912, 'mult_low': 4.386816352027811}",15.03204735,15.99000025,9
1,1,ChandelierExitStrategy,ei,1.202145369,"{'chand_window': 13.362315379826086, 'mean': 12.287604972785942, 'mult_high': 0.09910653329201916, 'mult_low': 0.16330569658916352}",15.38604145,21.81103015,9
2,1,ChandelierExitStrategy,poi,1.551030975,"{'chand_window': 6.342350454122926, 'mean': 26.223391137466304, 'mult_high': 0.5354822357269159, 'mult_low': 3.0976695516801094}",22.76165474,21.04795218,9
0,1,ChandelierExitStrategy,ucb,1.340408123,"{'chand_window': 7.3533498064787555, 'mean': 24.101075998451797, 'mult_high': 5.0, 'mult_low': 0.01}",13.73445864,15.81539869,11
1,1,ChandelierExitStrategy,ei,1.143191954,"{'chand_window': 8.893688176452848, 'mean': 29.833602724705514, 'mult_high': 4.8624089491961495, 'mult_low': 0.07632857511147736}",24.74680759,18.53101301,11
2,1,ChandelierExitStrategy,poi,1.591335238,"{'chand_window': 14.013419935853218, 'mean': 10.36846578227327, 'mult_high': 1.20091592898322, 'mult_low': 1.5940624714593368}",16.10940885,9.253002167,11
0,1,ChandelierExitStrategy,ucb,1.251202074,"{'chand_window': 14.944015126434572, 'mean': 26.077968395807435, 'mult_high': 0.017135105307571067, 'mult_low': 2.8171901807412056}",23.64069422,15.58513737,13
1,1,ChandelierExitStrategy,ei,1.230207313,"{'chand_window': 7.232501171042916, 'mean': 28.75248321581631, 'mult_high': 0.9106032306088765, 'mult_low': 0.06236122055786783}",26.90108702,17.75200057,13
2,1,ChandelierExitStrategy,poi,1.224110026,"{'chand_window': 15.0, 'mean': 10.0, 'mult_high': 0.01, 'mult_low': 0.01}",23.52817068,18.98891091,13
0,1,ChandelierExitStrategy,ucb,1.377303796,"{'chand_window': 7.060673876546238, 'mean': 24.974700872145505, 'mult_high': 2.872346379621485, 'mult_low': 0.06783934433529192}",24.94862408,17.51500082,15
1,1,ChandelierExitStrategy,ei,1.325895246,"{'chand_window': 9.041357443894862, 'mean': 20.052175646716194, 'mult_high': 3.7834877615242175, 'mult_low': 0.035466194398942996}",34.09558067,15.88399982,15
2,1,ChandelierExitStrategy,poi,1.053380125,"{'chand_window': 10.117147941029467, 'mean': 24.163054249972898, 'mult_high': 2.9134826459856527, 'mult_low': 0.01}",27.82169224,22.1310401,15
0,1,ChandelierExitStrategy,ucb,1.212600119,"{'chand_window': 9.236547993389047, 'mean': 22.917882261333123, 'mult_high': 2.1935601842008356, 'mult_low': 4.459947273902578}",30.28892223,18.68003464,17
1,1,ChandelierExitStrategy,ei,1.162821088,"{'chand_window': 7.892854175959648, 'mean': 24.328714343687878, 'mult_high': 4.981716419306288, 'mult_low': 0.2876749074268303}",108.7565258,20.29595637,17
2,1,ChandelierExitStrategy,poi,1.031526691,"{'chand_window': 5.645211402368261, 'mean': 20.32481173244917, 'mult_high': 4.638680425356124, 'mult_low': 4.906661321714717}",35.05349759,17.65199995,17
0,1,ChandelierExitStrategy,ucb,1.370892216,"{'chand_window': 7.107955002614351, 'mean': 30.0, 'mult_high': 5.0, 'mult_low': 0.01}",20.62207845,14.74800038,19
1,1,ChandelierExitStrategy,ei,1.456646075,"{'chand_window': 5.020815967509787, 'mean': 12.911619018305165, 'mult_high': 0.05826702951707566, 'mult_low': 0.12497246984809263}",25.34592983,14.36200571,19
2,1,ChandelierExitStrategy,poi,1.348242387,"{'chand_window': 5.0, 'mean': 30.0, 'mult_high': 0.01, 'mult_low': 0.01}",19.20158578,23.47904515,19
0,1,ChandelierExitStrategy,ucb,1.259199423,"{'chand_window': 6.590736888727469, 'mean': 11.119894332837612, 'mult_high': 5.0, 'mult_low': 0.01}",17.04421415,15.4177475,21
1,1,ChandelierExitStrategy,ei,1.83854841,"{'chand_window': 9.35257764157438, 'mean': 11.987306550726853, 'mult_high': 2.09241171037034, 'mult_low': 0.739173843337276}",11.00206079,17.91599989,21
2,1,ChandelierExitStrategy,poi,1.343421301,"{'chand_window': 6.036253278848993, 'mean': 14.911467071336961, 'mult_high': 0.01, 'mult_low': 2.5602790106581055}",15.28819882,16.23603845,21
0,1,ChandelierExitStrategy,ucb,1,"{'chand_window': 10.488135039273248, 'mean': 24.30378732744839, 'mult_high': 3.017789246597503, 'mult_low': 2.728967083154515}",0,20.53665066,23
1,1,ChandelierExitStrategy,ei,1,"{'chand_window': 10.488135039273248, 'mean': 24.30378732744839, 'mult_high': 3.017789246597503, 'mult_low': 2.728967083154515}",0,46.70695758,23
2,1,ChandelierExitStrategy,poi,1,"{'chand_window': 10.488135039273248, 'mean': 24.30378732744839, 'mult_high': 3.017789246597503, 'mult_low': 2.728967083154515}",0,3.375002861,23
0,1,ChandelierExitStrategy,ucb,1,"{'chand_window': 10.488135039273248, 'mean': 24.30378732744839, 'mult_high': 3.017789246597503, 'mult_low': 2.728967083154515}",0,20.60800052,25
1,1,ChandelierExitStrategy,ei,1,"{'chand_window': 10.488135039273248, 'mean': 24.30378732744839, 'mult_high': 3.017789246597503, 'mult_low': 2.728967083154515}",0,46.1580162,25
2,1,ChandelierExitStrategy,poi,1,"{'chand_window': 10.488135039273248, 'mean': 24.30378732744839, 'mult_high': 3.017789246597503, 'mult_low': 2.728967083154515}",0,4.051999331,25
0,1,ChandelierExitStrategy,ucb,1,"{'chand_window': 10.488135039273248, 'mean': 24.30378732744839, 'mult_high': 3.017789246597503, 'mult_low': 2.728967083154515}",0,21.64004374,27
1,1,ChandelierExitStrategy,ei,1,"{'chand_window': 10.488135039273248, 'mean': 24.30378732744839, 'mult_high': 3.017789246597503, 'mult_low': 2.728967083154515}",0,44.17899847,27
2,1,ChandelierExitStrategy,poi,1,"{'chand_window': 10.488135039273248, 'mean': 24.30378732744839, 'mult_high': 3.017789246597503, 'mult_low': 2.728967083154515}",0,5.069999695,27
0,1,ChandelierExitStrategy,ucb,1,"{'chand_window': 10.488135039273248, 'mean': 24.30378732744839, 'mult_high': 3.017789246597503, 'mult_low': 2.728967083154515}",0,29.12399936,29
1,1,ChandelierExitStrategy,ei,1,"{'chand_window': 10.488135039273248, 'mean': 24.30378732744839, 'mult_high': 3.017789246597503, 'mult_low': 2.728967083154515}",0,37.10099983,29
2,1,ChandelierExitStrategy,poi,1,"{'chand_window': 10.488135039273248, 'mean': 24.30378732744839, 'mult_high': 3.017789246597503, 'mult_low': 2.728967083154515}",0,5.226002455,29
0,1,ChandelierExitStrategy,ucb,1.146962752,"{'chand_window': 6.160905972119112, 'mean': 23.334492194219912, 'mult_high': 4.797866033462306, 'mult_low': 0.1295782947758956}",28.17408891,22.22100091,31
1,1,ChandelierExitStrategy,ei,1.106963312,"{'chand_window': 12.043004956327335, 'mean': 27.30989775194834, 'mult_high': 4.986062134898792, 'mult_low': 0.023836456782837183}",20.16036928,19.25499821,31
2,1,ChandelierExitStrategy,poi,1.058459825,"{'chand_window': 15.0, 'mean': 10.0, 'mult_high': 5.0, 'mult_low': 0.01}",21.62764301,25.94699717,31
0,1,ChandelierExitStrategy,ucb,1.131515945,"{'chand_window': 8.20062729883723, 'mean': 24.835832410071202, 'mult_high': 4.9474177994978294, 'mult_low': 0.07060988873571492}",36.18018242,23.10599852,33
1,1,ChandelierExitStrategy,ei,1.390140381,"{'chand_window': 5.586164364433203, 'mean': 27.0139644856266, 'mult_high': 0.22192434197693914, 'mult_low': 0.2678153511194603}",52.04180244,25.90104461,33
2,1,ChandelierExitStrategy,poi,1.189769481,"{'chand_window': 9.734637554883731, 'mean': 15.49778426387481, 'mult_high': 0.5567202437269391, 'mult_low': 4.0002189713227265}",27.72294079,23.93500113,33
0,1,ChandelierExitStrategy,ucb,1.102348135,"{'chand_window': 7.837213934103662, 'mean': 27.899980995427182, 'mult_high': 0.02785954177383801, 'mult_low': 2.915484195256221}",105.4769822,18.04900026,35
1,1,ChandelierExitStrategy,ei,1.118226025,"{'chand_window': 5.022871151300842, 'mean': 10.062473010505428, 'mult_high': 0.3477635516617063, 'mult_low': 0.5063223493680015}",29.66558638,22.86395097,35
2,1,ChandelierExitStrategy,poi,1.160211075,"{'chand_window': 9.52845739684338, 'mean': 23.889590132601207, 'mult_high': 4.485481491563369, 'mult_low': 0.3152837993303664}",123.4162692,14.76700091,35
0,1,ChandelierExitStrategy,ucb,1.077138789,"{'chand_window': 11.15496762486424, 'mean': 25.384723688810453, 'mult_high': 4.9536300790250225, 'mult_low': 0.04188701982205439}",285.4831038,13.38299656,37
1,1,ChandelierExitStrategy,ei,1.116920042,"{'chand_window': 14.998444817828616, 'mean': 10.274901495647967, 'mult_high': 4.986316048914261, 'mult_low': 0.40664475974994396}",40.90716947,17.46000051,37
2,1,ChandelierExitStrategy,poi,1.109089463,"{'chand_window': 5.0, 'mean': 10.0, 'mult_high': 0.01, 'mult_low': 0.01}",36.20209686,14.11700106,37
0,1,ChandelierExitStrategy,ucb,1.149648087,"{'chand_window': 5.0, 'mean': 10.0, 'mult_high': 5.0, 'mult_low': 0.01}",23.08068336,13.53404546,39
1,1,ChandelierExitStrategy,ei,1.218221846,"{'chand_window': 8.697607818005265, 'mean': 12.833675001842677, 'mult_high': 3.198964748299952, 'mult_low': 0.03936541539327285}",26.28671199,21.47202063,39
2,1,ChandelierExitStrategy,poi,1.30482425,"{'chand_window': 14.999302177289263, 'mean': 25.488623054863567, 'mult_high': 1.442598650604058, 'mult_low': 4.998392925877732}",26.39757174,15.18395805,39
0,1,ChandelierExitStrategy,ucb,1,"{'chand_window': 10.488135039273248, 'mean': 24.30378732744839, 'mult_high': 3.017789246597503, 'mult_low': 2.728967083154515}",0,20.60995007,41
1,1,ChandelierExitStrategy,ei,1,"{'chand_window': 10.488135039273248, 'mean': 24.30378732744839, 'mult_high': 3.017789246597503, 'mult_low': 2.728967083154515}",0,18.19935727,41
2,1,ChandelierExitStrategy,poi,1,"{'chand_window': 10.488135039273248, 'mean': 24.30378732744839, 'mult_high': 3.017789246597503, 'mult_low': 2.728967083154515}",0,5.390919447,41
0,1,ChandelierExitStrategy,ucb,1.349659547,"{'chand_window': 5.0, 'mean': 29.0473870425489, 'mult_high': 5.0, 'mult_low': 0.01}",26.60697959,15.45199919,43
1,1,ChandelierExitStrategy,ei,1.23059796,"{'chand_window': 13.947328971917644, 'mean': 25.62525355717146, 'mult_high': 2.647502448637197, 'mult_low': 1.6433072094007573}",44.06958525,21.5049994,43
2,1,ChandelierExitStrategy,poi,1.399566821,"{'chand_window': 5.703415542472716, 'mean': 29.340123293831482, 'mult_high': 4.9397691796819645, 'mult_low': 0.34491601133660293}",36.34576569,21.48203921,43
0,1,ChandelierExitStrategy,ucb,1.318028162,"{'chand_window': 10.767110458117152, 'mean': 13.034354819148058, 'mult_high': 0.01, 'mult_low': 4.760466958392812}",28.04779051,15.63795567,45
1,1,ChandelierExitStrategy,ei,1.328345825,"{'chand_window': 10.97808636108196, 'mean': 13.030703189735014, 'mult_high': 0.03880202296819887, 'mult_low': 0.12396924930794227}",35.49170451,19.3730011,45
2,1,ChandelierExitStrategy,poi,1.27406611,"{'chand_window': 14.74543617902089, 'mean': 21.08221594742163, 'mult_high': 0.05883907863102335, 'mult_low': 0.6767519068073783}",35.5809178,14.65499592,45
