,best,strategy,acq_func,performance,params,xratio,delay,week
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.4209534883014654,"{'ma_long': 99.90203498712594, 'ma_medium': 59.68745321286201, 'ma_short': 23.76249605741413}",19.11190259547391,10.128000974655151,1
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.2895605061306654,"{'ma_long': 67.4108137332301, 'ma_medium': 37.32046812094538, 'ma_short': 29.916536561841156}",17.717660411579825,15.415999412536621,1
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.2192362869127547,"{'ma_long': 80.10385912321685, 'ma_medium': 49.78823339645998, 'ma_short': 27.324095200265855}",25.638749328343764,18.416004180908203,1
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.466680018265347,"{'ma_long': 65.16657213233763, 'ma_medium': 51.73053415899522, 'ma_short': 19.2942946410556}",17.04916433737327,13.082006692886353,3
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.458792027977742,"{'ma_long': 51.0, 'ma_medium': 60.0, 'ma_short': 12.306312630019766}",22.934021361812515,10.419003248214722,3
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.295179685655199,"{'ma_long': 100.0, 'ma_medium': 25.0, 'ma_short': 1.0}",17.674060530037647,11.651996850967407,3
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.3641656746198942,"{'ma_long': 95.13364949274168, 'ma_medium': 25.290724611682396, 'ma_short': 25.074251175766513}",13.997611730442959,12.58799958229065,5
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.347665487635887,"{'ma_long': 52.1081353333067, 'ma_medium': 56.50814512291447, 'ma_short': 13.469356268009548}",24.650412860125638,13.100999116897583,5
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.0250686112188074,"{'ma_long': 53.839192629826925, 'ma_medium': 59.95213930777315, 'ma_short': 29.421486561425294}",16.407220663397933,11.611045360565186,5
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.1926938047610607,"{'ma_long': 83.01687917224774, 'ma_medium': 33.05270042788169, 'ma_short': 24.51949464248503}",22.964062600228324,13.233004093170166,7
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.4401011069657346,"{'ma_long': 73.57794961411298, 'ma_medium': 60.0, 'ma_short': 19.515834757472145}",18.600193696251733,21.153939247131348,7
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.2176184082723218,"{'ma_long': 83.8574317772568, 'ma_medium': 59.93135472706795, 'ma_short': 3.725086974841201}",22.910456150004816,19.273000478744507,7
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.34277393276885,"{'ma_long': 77.69927596684795, 'ma_medium': 39.82791797686166, 'ma_short': 19.730929278933026}",21.132778643362595,13.266006708145142,9
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.3209096000450204,"{'ma_long': 79.45833996154673, 'ma_medium': 34.468510518821645, 'ma_short': 29.88324970515344}",34.9270894379233,15.930919885635376,9
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.0063762371047293,"{'ma_long': 51.0, 'ma_medium': 60.0, 'ma_short': 1.0}",40.60868664862854,12.892000198364258,9
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.255679882090718,"{'ma_long': 77.69927596684795, 'ma_medium': 39.82791797686166, 'ma_short': 19.730929278933026}",29.45672824568061,14.196000099182129,11
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.1311873630154143,"{'ma_long': 51.6996788862212, 'ma_medium': 57.827792803580294, 'ma_short': 29.084578747326862}",19.160666167542672,19.469952821731567,11
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.27065056433693,"{'ma_long': 59.17415261815954, 'ma_medium': 27.171965091414155, 'ma_short': 2.224451068012389}",24.505418892974077,12.394001245498657,11
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.1951349942091591,"{'ma_long': 78.06351076266102, 'ma_medium': 36.400598730345095, 'ma_short': 15.375511271789737}",20.42168413295516,11.690999984741211,13
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.2341861266728953,"{'ma_long': 96.18222379829106, 'ma_medium': 46.16794620575592, 'ma_short': 15.184770287604422}",22.396704276513265,16.030045986175537,13
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.099786928839893,"{'ma_long': 98.05857131886995, 'ma_medium': 25.047702140943507, 'ma_short': 15.479993212006603}",23.60276946318117,19.475001335144043,13
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.135029508702445,"{'ma_long': 66.32610364664356, 'ma_medium': 51.67257418167742, 'ma_short': 1.3212869716489641}",31.191821165853764,10.300999164581299,15
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.0241473726279229,"{'ma_long': 55.14999055001248, 'ma_medium': 59.71498792530979, 'ma_short': 4.16367505741113}",31.71067651326978,21.071999073028564,15
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.0217104026800274,"{'ma_long': 53.34982194193716, 'ma_medium': 60.0, 'ma_short': 30.0}",32.227774634248206,13.479045152664185,15
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.2953488992375595,"{'ma_long': 57.500303327439575, 'ma_medium': 47.499211371602335, 'ma_short': 25.947908551206705}",22.568897106954072,13.98799991607666,17
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.069409080295702,"{'ma_long': 99.98097010632428, 'ma_medium': 36.407890136483445, 'ma_short': 1.0960446715284942}",31.268917832581604,13.63199758529663,17
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.1025677492037202,"{'ma_long': 51.0, 'ma_medium': 60.0, 'ma_short': 1.0}",31.089814780480445,9.114999771118164,17
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.2745616980310486,"{'ma_long': 51.36431088255119, 'ma_medium': 55.12686053748719, 'ma_short': 8.176144416284059}",47.57341403969396,12.678999900817871,19
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.2730413408975654,"{'ma_long': 62.41623920369858, 'ma_medium': 37.57671461157942, 'ma_short': 29.98077368042665}",28.92701853647712,13.930999994277954,19
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.3343756122505581,"{'ma_long': 86.95673791131006, 'ma_medium': 59.720567384204244, 'ma_short': 29.671528156834633}",32.95094971396636,13.782959222793579,19
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.4358414584367862,"{'ma_long': 52.53643169367524, 'ma_medium': 59.431206178143164, 'ma_short': 3.1600104328735092}",30.306275795442616,8.503999948501587,21
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.66590264844657,"{'ma_long': 57.36697488979257, 'ma_medium': 25.0, 'ma_short': 10.97201778072158}",21.182800351394384,14.871996641159058,21
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.4763197731454492,"{'ma_long': 94.88654338439056, 'ma_medium': 26.308393184078554, 'ma_short': 10.04582384797126}",14.643365800287963,13.174992799758911,21
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.0,"{'ma_long': 77.89186169243891, 'ma_medium': 50.03162782303468, 'ma_short': 18.480137906077672}",-0.0,16.48900270462036,23
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.0,"{'ma_long': 77.89186169243891, 'ma_medium': 50.03162782303468, 'ma_short': 18.480137906077672}",-0.0,4.859002590179443,23
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.0,"{'ma_long': 77.89186169243891, 'ma_medium': 50.03162782303468, 'ma_short': 18.480137906077672}",-0.0,8.370996952056885,23
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.0,"{'ma_long': 77.89186169243891, 'ma_medium': 50.03162782303468, 'ma_short': 18.480137906077672}",-0.0,18.19505000114441,25
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.0,"{'ma_long': 77.89186169243891, 'ma_medium': 50.03162782303468, 'ma_short': 18.480137906077672}",-0.0,4.919996738433838,25
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.0,"{'ma_long': 77.89186169243891, 'ma_medium': 50.03162782303468, 'ma_short': 18.480137906077672}",-0.0,8.131999731063843,25
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.0,"{'ma_long': 77.89186169243891, 'ma_medium': 50.03162782303468, 'ma_short': 18.480137906077672}",-0.0,16.43100094795227,27
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.0,"{'ma_long': 77.89186169243891, 'ma_medium': 50.03162782303468, 'ma_short': 18.480137906077672}",-0.0,4.987001895904541,27
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.0,"{'ma_long': 77.89186169243891, 'ma_medium': 50.03162782303468, 'ma_short': 18.480137906077672}",-0.0,8.092997789382935,27
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.0,"{'ma_long': 77.89186169243891, 'ma_medium': 50.03162782303468, 'ma_short': 18.480137906077672}",-0.0,16.517000198364258,29
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.0,"{'ma_long': 77.89186169243891, 'ma_medium': 50.03162782303468, 'ma_short': 18.480137906077672}",-0.0,4.920999765396118,29
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.0,"{'ma_long': 77.89186169243891, 'ma_medium': 50.03162782303468, 'ma_short': 18.480137906077672}",-0.0,8.085994005203247,29
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.1697659468525134,"{'ma_long': 78.68336502375374, 'ma_medium': 45.05833350041298, 'ma_short': 30.0}",24.09747575250683,13.346997499465942,31
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.1697107674380154,"{'ma_long': 80.11802078955827, 'ma_medium': 34.90449642124814, 'ma_short': 30.0}",39.20333376459713,16.041043519973755,31
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.2024261654965984,"{'ma_long': 99.1276386452273, 'ma_medium': 56.26743662569983, 'ma_short': 1.332620676899475}",29.863162980714673,16.81700301170349,31
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.1552448787595015,"{'ma_long': 58.64695845593248, 'ma_medium': 59.88889582498934, 'ma_short': 11.785765748600207}",27.81234024541587,11.174998760223389,33
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.133013573951617,"{'ma_long': 87.43514191963047, 'ma_medium': 25.03273272784404, 'ma_short': 22.46022233786365}",34.77078929376093,16.5910005569458,33
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.1718958134003263,"{'ma_long': 84.66409804413689, 'ma_medium': 38.999777475096806, 'ma_short': 20.08895358289342}",25.119311097938464,20.221999168395996,33
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.105815343118288,"{'ma_long': 55.81734884314421, 'ma_medium': 58.51831667848722, 'ma_short': 6.335592140642582}",31.433362303449833,13.28600263595581,35
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.0990648218934376,"{'ma_long': 99.88281394213232, 'ma_medium': 27.111447434233014, 'ma_short': 28.860900585214612}",43.34457630098763,16.570000171661377,35
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.1358434672584867,"{'ma_long': 100.0, 'ma_medium': 42.15115117398598, 'ma_short': 1.0}",34.61310411454421,16.026047229766846,35
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.098836013144226,"{'ma_long': 91.25349686759782, 'ma_medium': 50.18021663202926, 'ma_short': 29.759360385131664}",36.54257626368051,10.204995393753052,37
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.1301912799877492,"{'ma_long': 89.8279949674004, 'ma_medium': 55.23935328682667, 'ma_short': 16.72973946170045}",43.296200301657294,19.65500044822693,37
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.1632246737850513,"{'ma_long': 52.09787644092676, 'ma_medium': 25.96659016234499, 'ma_short': 2.556498740912205}",43.245715776647685,14.498000383377075,37
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.2492447403382418,"{'ma_long': 67.15724093236287, 'ma_medium': 49.81789156074818, 'ma_short': 29.895427467196825}",23.37643712496463,13.811000347137451,39
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.2386153184212185,"{'ma_long': 51.04441133155994, 'ma_medium': 28.761531269579734, 'ma_short': 12.251616331739177}",37.46954628687158,15.935999631881714,39
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.3108270270675073,"{'ma_long': 66.45914453046555, 'ma_medium': 47.36934681849354, 'ma_short': 13.214739277727123}",33.84585485499816,17.15399980545044,39
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.0,"{'ma_long': 77.89186169243891, 'ma_medium': 50.03162782303468, 'ma_short': 18.480137906077672}",-0.0,16.624003410339355,41
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.0,"{'ma_long': 77.89186169243891, 'ma_medium': 50.03162782303468, 'ma_short': 18.480137906077672}",-0.0,4.823000907897949,41
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.0,"{'ma_long': 77.89186169243891, 'ma_medium': 50.03162782303468, 'ma_short': 18.480137906077672}",-0.0,8.07900094985962,41
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.2907859240949706,"{'ma_long': 57.50281580531463, 'ma_medium': 29.03993442648682, 'ma_short': 8.552368309960295}",31.622631238958824,10.729000329971313,43
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.2899737067474064,"{'ma_long': 65.09856119969673, 'ma_medium': 39.610282049869866, 'ma_short': 29.99285797769045}",31.69631205264015,9.577999353408813,43
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.1289734649224286,"{'ma_long': 51.00585505454424, 'ma_medium': 29.081111764514457, 'ma_short': 5.23826187665019}",44.39652613372968,12.532999515533447,43
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.1564369002433506,"{'ma_long': 55.19524835323618, 'ma_medium': 37.57975301897002, 'ma_short': 29.468027092843368}",38.49271643198214,11.431999444961548,45
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.1683427788609977,"{'ma_long': 60.17027363085651, 'ma_medium': 36.90817766014959, 'ma_short': 30.0}",42.348998228070585,21.511998176574707,45
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.1258522699935674,"{'ma_long': 97.36756750064251, 'ma_medium': 60.0, 'ma_short': 26.031750890155887}",27.56109025965933,22.361960411071777,45
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.1217651944974403,"{'ma_long': 73.78246626518197, 'ma_medium': 34.888975528772264, 'ma_short': 24.914607192783755}",32.76390089527768,11.983000993728638,47
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.1975502193768504,"{'ma_long': 51.16171204912976, 'ma_medium': 28.91256153640229, 'ma_short': 23.88979051304029}",37.7926721296135,25.4420382976532,47
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.0256328221331763,"{'ma_long': 53.70996197763509, 'ma_medium': 55.11826650578261, 'ma_short': 27.90319475425567}",160.7344489118012,18.05899953842163,47
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.3904009980652032,"{'ma_long': 98.46434668315364, 'ma_medium': 58.91252610564812, 'ma_short': 28.321097161856574}",32.887616077113954,15.063943862915039,49
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.2099715597624143,"{'ma_long': 56.72745305745103, 'ma_medium': 41.91841595450051, 'ma_short': 23.332191527237082}",30.063840975988047,19.15700078010559,49
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.1513420225809419,"{'ma_long': 57.92717059368967, 'ma_medium': 60.0, 'ma_short': 1.0}",29.29970945409726,16.202001571655273,49
0,1.0,ThreeStandardMovingAverageAlternative,ucb,1.2081334394665266,"{'ma_long': 59.19034552073469, 'ma_medium': 27.25183086274581, 'ma_short': 8.052948861626085}",26.260345792983554,12.44900107383728,51
1,1.0,ThreeStandardMovingAverageAlternative,ei,1.409817548489261,"{'ma_long': 82.98842237367252, 'ma_medium': 59.77944978702803, 'ma_short': 8.906886121090427}",25.248990813527616,19.667327404022217,51
2,1.0,ThreeStandardMovingAverageAlternative,poi,1.218812647301575,"{'ma_long': 58.08533912885823, 'ma_medium': 26.31133887901133, 'ma_short': 7.937734423648941}",32.102901925987354,19.141242027282715,51
