,best,strategy,acq_func,performance,params,xratio,delay,week
0,1,ThreeStandardMovingAverage,ucb,1.210372217,"{'ma_long': 52.208780110683264, 'ma_short_buy': 1.1185627444819737, 'ma_short_sell': 49.64296539286493}",19.53791373,11.77783847,1
1,1,ThreeStandardMovingAverage,ei,1.082648884,"{'ma_long': 81.13888147660758, 'ma_short_buy': 1.5977890091243325, 'ma_short_sell': 5.747607653878602}",81.31229862,13.11659932,1
2,1,ThreeStandardMovingAverage,poi,1.128067522,"{'ma_long': 51.502312916758, 'ma_short_buy': 2.4525391596062427, 'ma_short_sell': 8.610211861049173}",22.24016929,15.17611909,1
0,1,ThreeStandardMovingAverage,ucb,1.172189449,"{'ma_long': 51.0, 'ma_short_buy': 32.17401825676295, 'ma_short_sell': 36.4871581600562}",18.77505998,19.62849617,3
1,1,ThreeStandardMovingAverage,ei,1.175864763,"{'ma_long': 93.8355344845099, 'ma_short_buy': 38.438459287271534, 'ma_short_sell': 31.034285390516146}",19.05320504,18.17158008,3
2,1,ThreeStandardMovingAverage,poi,1.184408145,"{'ma_long': 72.8099160851767, 'ma_short_buy': 20.51913169696822, 'ma_short_sell': 32.73815278290782}",13.64429753,18.49387646,3
0,1,ThreeStandardMovingAverage,ucb,1.134951997,"{'ma_long': 51.058227974184454, 'ma_short_buy': 49.86252305091349, 'ma_short_sell': 47.8781262267176}",14.35517714,13.23886061,5
1,1,ThreeStandardMovingAverage,ei,1.309801579,"{'ma_long': 53.620482658321485, 'ma_short_buy': 7.333148475976559, 'ma_short_sell': 6.4739308682606165}",14.53139945,20.80613947,5
2,1,ThreeStandardMovingAverage,poi,1.757862345,"{'ma_long': 69.3384433102685, 'ma_short_buy': 32.47598096551077, 'ma_short_sell': 19.607819835733487}",14.32224872,22.27395654,5
0,1,ThreeStandardMovingAverage,ucb,1.106121593,"{'ma_long': 51.17119852903386, 'ma_short_buy': 39.37219002449017, 'ma_short_sell': 26.184758299604724}",20.68289034,14.60030413,7
1,1,ThreeStandardMovingAverage,ei,1.251880635,"{'ma_long': 57.92993579833649, 'ma_short_buy': 2.2504337939432855, 'ma_short_sell': 5.146727764782924}",16.67016532,21.71993923,7
2,1,ThreeStandardMovingAverage,poi,1.048643136,"{'ma_long': 76.5910682002601, 'ma_short_buy': 16.5512172750373, 'ma_short_sell': 41.36403405196585}",20.74387603,24.89622188,7
0,1,ThreeStandardMovingAverage,ucb,1.038021507,"{'ma_long': 51.00776612254051, 'ma_short_buy': 16.562832623425177, 'ma_short_sell': 21.693619230277513}",15.93404466,12.80482936,9
1,1,ThreeStandardMovingAverage,ei,1.03928109,"{'ma_long': 51.89920408970946, 'ma_short_buy': 49.26862338366563, 'ma_short_sell': 48.91091193827687}",28.13537697,20.24118614,9
2,1,ThreeStandardMovingAverage,poi,1.032588094,"{'ma_long': 78.09098511923379, 'ma_short_buy': 32.94902874814111, 'ma_short_sell': 28.67209233685743}",175.2223101,16.42023087,9
0,1,ThreeStandardMovingAverage,ucb,1.063851889,"{'ma_long': 51.21508210090095, 'ma_short_buy': 38.602596284429595, 'ma_short_sell': 6.366000200236108}",19.50386339,10.69459558,11
1,1,ThreeStandardMovingAverage,ei,1.131079541,"{'ma_long': 100.0, 'ma_short_buy': 15.789072113834369, 'ma_short_sell': 15.97413397878215}",17.8606054,23.79076457,11
2,1,ThreeStandardMovingAverage,poi,1.131079541,"{'ma_long': 60.91819612878562, 'ma_short_buy': 22.816934857854346, 'ma_short_sell': 21.815117668094988}",17.8606054,19.72444463,11
0,1,ThreeStandardMovingAverage,ucb,1.078559774,"{'ma_long': 56.05246624175594, 'ma_short_buy': 48.37839701076136, 'ma_short_sell': 48.09445839941181}",24.80268849,13.65541792,13
1,1,ThreeStandardMovingAverage,ei,1.082632317,"{'ma_long': 56.340353943862105, 'ma_short_buy': 1.5931475789634852, 'ma_short_sell': 10.230330874134157}",22.69877311,14.53374004,13
2,1,ThreeStandardMovingAverage,poi,1.008746865,"{'ma_long': 77.69927596684795, 'ma_short_buy': 21.75908516760633, 'ma_short_sell': 34.065235087999525}",361.251709,22.38871884,13
0,1,ThreeStandardMovingAverage,ucb,1.216707584,"{'ma_long': 51.26808390678076, 'ma_short_buy': 48.59796889691887, 'ma_short_sell': 27.59743634495902}",25.86975479,13.82660604,15
1,1,ThreeStandardMovingAverage,ei,1.234069246,"{'ma_long': 51.13262410940147, 'ma_short_buy': 37.11178777887085, 'ma_short_sell': 48.91545288490947}",25.7784267,10.99666405,15
2,1,ThreeStandardMovingAverage,poi,1.016679498,"{'ma_long': 75.25875219622777, 'ma_short_buy': 49.99829090819968, 'ma_short_sell': 29.348528390850472}",349.8598293,19.33847904,15
