,best,strategy,acq_func,performance,params,xratio,delay,week
0,1.0,TwoStandardMovingAverage,ucb,1.2015194532847457,"{'ma_long': 69.06970079446003, 'ma_short': 3.548868337142955}",18.98935043990156,15.643819570541382,1
1,1.0,TwoStandardMovingAverage,ei,1.150670568248668,"{'ma_long': 94.41435505561532, 'ma_short': 49.85198607536347}",19.150208434044092,14.349749326705933,1
2,1.0,TwoStandardMovingAverage,poi,1.112291633952076,"{'ma_long': 76.73942433360386, 'ma_short': 44.794894896956166}",19.537913733542567,17.01565408706665,1
0,1.0,TwoStandardMovingAverage,ucb,1.7127221506172385,"{'ma_long': 68.41754163113715, 'ma_short': 49.938797126160935}",14.4968777906306,10.061327695846558,3
1,1.0,TwoStandardMovingAverage,ei,1.1578136906701513,"{'ma_long': 87.87600151935641, 'ma_short': 50.0}",14.276238253772153,10.230884075164795,3
2,1.0,TwoStandardMovingAverage,poi,1.1518707753465673,"{'ma_long': 100.0, 'ma_short': 36.46134742544827}",19.49269822488433,9.229755878448486,3
0,1.0,TwoStandardMovingAverage,ucb,1.1995593650255483,"{'ma_long': 51.0, 'ma_short': 38.175355489814635}",17.746384877963344,11.515608787536621,5
1,1.0,TwoStandardMovingAverage,ei,1.0136043987652148,"{'ma_long': 80.53540542751055, 'ma_short': 27.699275966847946}",200.52544499220846,10.282026767730713,5
2,1.0,TwoStandardMovingAverage,poi,1.2455647115423245,"{'ma_long': 88.04488082118905, 'ma_short': 7.961956331333431}",14.108683395451502,12.36946439743042,5
0,1.0,TwoStandardMovingAverage,ucb,1.0887767664769108,"{'ma_long': 51.0, 'ma_short': 27.67439038699871}",21.405575948997818,10.787044525146484,7
1,1.0,TwoStandardMovingAverage,ei,1.048643136177722,"{'ma_long': 77.67279903283311, 'ma_short': 41.32297970464572}",151.02126907635372,14.046361446380615,7
2,1.0,TwoStandardMovingAverage,poi,1.0599970719992735,"{'ma_long': 51.51556443717082, 'ma_short': 10.971495520648876}",21.986965658187824,12.249906301498413,7
0,1.0,TwoStandardMovingAverage,ucb,1.0267507580628297,"{'ma_long': 71.66245729779702, 'ma_short': 38.55348333992937}",205.16816006276753,13.059520721435547,9
1,1.0,TwoStandardMovingAverage,ei,1.2850600056135768,"{'ma_long': 59.349153461092506, 'ma_short': 1.1690356186918058}",14.640358778178417,5.205610990524292,9
2,1.0,TwoStandardMovingAverage,poi,1.0440728979916636,"{'ma_long': 52.26391746625161, 'ma_short': 1.1621267994307378}",42.55324182346492,5.552974462509155,9
0,1.0,TwoStandardMovingAverage,ucb,1.162244048449684,"{'ma_long': 51.02084724968349, 'ma_short': 38.920975252608834}",15.892574921509862,9.652304410934448,11
1,1.0,TwoStandardMovingAverage,ei,1.070733616204945,"{'ma_long': 99.98296333848252, 'ma_short': 48.57523071485099}",35.622344750130814,4.1574952602386475,11
2,1.0,TwoStandardMovingAverage,poi,1.1310795411360373,"{'ma_long': 82.57235606037335, 'ma_short': 21.73823426717421}",16.82141442202547,10.020438194274902,11
0,1.0,TwoStandardMovingAverage,ucb,1.0917632826895725,"{'ma_long': 59.264329205904886, 'ma_short': 30.985588209018474}",22.80727821013081,8.599678039550781,13
1,1.0,TwoStandardMovingAverage,ei,1.0931739179141895,"{'ma_long': 51.095979953415274, 'ma_short': 14.014393995649591}",22.225370781154723,10.678143501281738,13
