,best,strategy,acq_func,performance,params,xratio,delay,week
0,1.0,VWAPvsSMA,ucb,1.2804554631507974,"{'min_percentage': 0.1, 'n_candles': 6.994421117901318}",25.35430490674271,6.858947515487671,1
1,1.0,VWAPvsSMA,ei,1.3150988333576676,"{'min_percentage': 0.1, 'n_candles': 4.479789239034923}",17.18641615500612,6.648998498916626,1
2,1.0,VWAPvsSMA,poi,1.2930558008577375,"{'min_percentage': 0.07401621256233985, 'n_candles': 5.523954758930863}",22.455000992742846,6.504955053329468,1
0,1.0,VWAPvsSMA,ucb,1.577277111750982,"{'min_percentage': 0.000920152688950926, 'n_candles': 5.978840922265291}",16.7059073998618,6.62900185585022,3
1,1.0,VWAPvsSMA,ei,1.577277111750982,"{'min_percentage': 0.0, 'n_candles': 5.368089786098079}",16.7059073998618,6.487005710601807,3
2,1.0,VWAPvsSMA,poi,1.3209270129742343,"{'min_percentage': 0.05488135039273248, 'n_candles': 7.436704297351775}",18.130851845984935,15.295001745223999,3
0,1.0,VWAPvsSMA,ucb,1.392899441555356,"{'min_percentage': 0.02067496414345288, 'n_candles': 7.904752693008764}",12.405400882749701,6.836000919342041,5
1,1.0,VWAPvsSMA,ei,1.7437521636070756,"{'min_percentage': 0.1, 'n_candles': 4.360056485793937}",19.606192655105176,5.233995676040649,5
2,1.0,VWAPvsSMA,poi,1.469012578217232,"{'min_percentage': 0.06782630918298362, 'n_candles': 4.115283560054314}",9.824421365857784,8.60203742980957,5
0,1.0,VWAPvsSMA,ucb,1.2225783764432565,"{'min_percentage': 0.06027633760716439, 'n_candles': 5.903948646972072}",14.421737767339112,7.454956293106079,7
1,1.0,VWAPvsSMA,ei,1.2693234892666276,"{'min_percentage': 0.1, 'n_candles': 4.115442943263228}",11.971093609488815,7.019000768661499,7
2,1.0,VWAPvsSMA,poi,1.2225783764432565,"{'min_percentage': 0.06027633760716439, 'n_candles': 5.903948646972072}",12.324622897541879,10.370001554489136,7
0,1.0,VWAPvsSMA,ucb,1.375706875358983,"{'min_percentage': 0.0026107493806428075, 'n_candles': 7.792278384846001}",18.420794022423706,6.18999981880188,9
1,1.0,VWAPvsSMA,ei,1.6429609203865918,"{'min_percentage': 0.0007397483932649496, 'n_candles': 9.345487334817909}",14.033502748588718,6.780002593994141,9
2,1.0,VWAPvsSMA,poi,1.715951544696157,"{'min_percentage': 0.0, 'n_candles': 5.0408759588134835}",16.37950143147021,11.756039381027222,9
0,1.0,VWAPvsSMA,ucb,1.1630402115393854,"{'min_percentage': 0.0, 'n_candles': 8.674113859445283}",15.394379955050692,9.146041631698608,11
1,1.0,VWAPvsSMA,ei,1.1630402115393854,"{'min_percentage': 0.0, 'n_candles': 8.448980560971025}",15.394379955050692,4.464997053146362,11
2,1.0,VWAPvsSMA,poi,1.4475794291348287,"{'min_percentage': 0.03945909413064916, 'n_candles': 7.568706536878769}",22.204309132702324,6.754000425338745,11
0,1.0,VWAPvsSMA,ucb,1.1618499265037174,"{'min_percentage': 0.06027633760716439, 'n_candles': 5.903948646972072}",6.811024571634687,8.717005014419556,13
1,1.0,VWAPvsSMA,ei,1.1957902814395776,"{'min_percentage': 0.1, 'n_candles': 6.97383733449029}",20.248632687939583,9.849000215530396,13
2,1.0,VWAPvsSMA,poi,1.2134721965692659,"{'min_percentage': 0.0691950783112932, 'n_candles': 5.7042497809888895}",12.770935499182865,12.149998188018799,13
0,1.0,VWAPvsSMA,ucb,1.2310499284521246,"{'min_percentage': 0.0, 'n_candles': 3.2109195349871835}",19.13521619920474,10.647998809814453,15
1,1.0,VWAPvsSMA,ei,1.2026156306951228,"{'min_percentage': 0.0, 'n_candles': 9.535313782303788}",28.25211810610072,7.823956251144409,15
2,1.0,VWAPvsSMA,poi,1.1380516810659913,"{'min_percentage': 0.001346928253671531, 'n_candles': 8.42800605248215}",26.049756767959735,8.87395453453064,15
0,1.0,VWAPvsSMA,ucb,1.3906444195966,"{'min_percentage': 0.00020959304643064502, 'n_candles': 7.1871453484928205}",26.92168828975112,19.050000429153442,17
1,1.0,VWAPvsSMA,ei,1.3906444195966,"{'min_percentage': 0.0, 'n_candles': 7.1121364267796325}",26.92168828975112,6.872997283935547,17
2,1.0,VWAPvsSMA,poi,1.3516564476630626,"{'min_percentage': 0.05488135039273248, 'n_candles': 7.436704297351775}",23.253065275250886,17.235000610351562,17
0,1.0,VWAPvsSMA,ucb,1.2966500304572597,"{'min_percentage': 0.1, 'n_candles': 9.494592997825935}",11.94297168984586,9.847999095916748,19
1,1.0,VWAPvsSMA,ei,1.2056883378147134,"{'min_percentage': 0.05488135039273248, 'n_candles': 7.436704297351775}",13.16646758740615,7.431998014450073,19
2,1.0,VWAPvsSMA,poi,1.3428701416357909,"{'min_percentage': 0.0839949573218435, 'n_candles': 9.587254158302676}",7.851517169746063,5.7130045890808105,19
0,1.0,VWAPvsSMA,ucb,1.6543887173430445,"{'min_percentage': 0.0, 'n_candles': 2.2539715829824893}",14.948320714096699,9.06600046157837,21
1,1.0,VWAPvsSMA,ei,1.7350773580009575,"{'min_percentage': 0.09944884930722406, 'n_candles': 8.923307207072321}",15.200828677981034,7.915002107620239,21
2,1.0,VWAPvsSMA,poi,1.6222633675808318,"{'min_percentage': 0.03706589383569815, 'n_candles': 8.33045563257405}",14.024728233571713,6.491997480392456,21
0,1.0,VWAPvsSMA,ucb,1.0,"{'min_percentage': 0.05488135039273248, 'n_candles': 7.436704297351775}",-0.0,13.730000257492065,23
1,1.0,VWAPvsSMA,ei,1.0,"{'min_percentage': 0.05488135039273248, 'n_candles': 7.436704297351775}",-0.0,4.002957582473755,23
2,1.0,VWAPvsSMA,poi,1.0,"{'min_percentage': 0.05488135039273248, 'n_candles': 7.436704297351775}",-0.0,5.613998889923096,23
0,1.0,VWAPvsSMA,ucb,1.0,"{'min_percentage': 0.05488135039273248, 'n_candles': 7.436704297351775}",-0.0,13.478606939315796,25
1,1.0,VWAPvsSMA,ei,1.0,"{'min_percentage': 0.05488135039273248, 'n_candles': 7.436704297351775}",-0.0,3.929999351501465,25
2,1.0,VWAPvsSMA,poi,1.0,"{'min_percentage': 0.05488135039273248, 'n_candles': 7.436704297351775}",-0.0,5.811996698379517,25
0,1.0,VWAPvsSMA,ucb,1.0,"{'min_percentage': 0.05488135039273248, 'n_candles': 7.436704297351775}",-0.0,13.877999067306519,27
1,1.0,VWAPvsSMA,ei,1.0,"{'min_percentage': 0.05488135039273248, 'n_candles': 7.436704297351775}",-0.0,3.9929542541503906,27
2,1.0,VWAPvsSMA,poi,1.0,"{'min_percentage': 0.05488135039273248, 'n_candles': 7.436704297351775}",-0.0,5.708997964859009,27
0,1.0,VWAPvsSMA,ucb,1.0,"{'min_percentage': 0.05488135039273248, 'n_candles': 7.436704297351775}",-0.0,13.66904616355896,29
1,1.0,VWAPvsSMA,ei,1.0,"{'min_percentage': 0.05488135039273248, 'n_candles': 7.436704297351775}",-0.0,3.9539997577667236,29
2,1.0,VWAPvsSMA,poi,1.0,"{'min_percentage': 0.05488135039273248, 'n_candles': 7.436704297351775}",-0.0,5.769004583358765,29
0,1.0,VWAPvsSMA,ucb,1.1956061528666089,"{'min_percentage': 0.1, 'n_candles': 6.2562597822549835}",17.63751379712642,16.389999628067017,31
1,1.0,VWAPvsSMA,ei,1.1303931340086681,"{'min_percentage': 0.09926707679054807, 'n_candles': 9.07112726091121}",50.032747088031684,6.904002666473389,31
2,1.0,VWAPvsSMA,poi,1.1956061528666089,"{'min_percentage': 0.09979476769143247, 'n_candles': 6.137601592639971}",17.63751379712642,7.24804162979126,31
0,1.0,VWAPvsSMA,ucb,1.1627567950117537,"{'min_percentage': 0.1, 'n_candles': 8.293201335134357}",21.266196122553055,15.285999774932861,33
1,1.0,VWAPvsSMA,ei,1.1627567950117537,"{'min_percentage': 0.0995217918723894, 'n_candles': 8.104386182314604}",21.266196122553055,5.46400260925293,33
2,1.0,VWAPvsSMA,poi,1.1286268874783136,"{'min_percentage': 0.0503722505669845, 'n_candles': 8.024361116814106}",25.597417882951422,7.836998462677002,33
0,1.0,VWAPvsSMA,ucb,1.1435754968443061,"{'min_percentage': 0.098186272134442, 'n_candles': 9.845631181172386}",27.437187789185344,8.90399956703186,35
1,1.0,VWAPvsSMA,ei,1.2184398541436547,"{'min_percentage': 0.0015668817266088154, 'n_candles': 8.537742693524871}",39.70195379862639,6.714002370834351,35
2,1.0,VWAPvsSMA,poi,1.2184398541436547,"{'min_percentage': 0.006793902002339891, 'n_candles': 8.549341948531994}",39.70195379862639,14.644044160842896,35
0,1.0,VWAPvsSMA,ucb,1.133471378696502,"{'min_percentage': 0.0, 'n_candles': 7.625527941300972}",43.93397366802332,14.307008743286133,37
1,1.0,VWAPvsSMA,ei,1.133471378696502,"{'min_percentage': 0.0, 'n_candles': 7.563581182525374}",43.93397366802332,7.436998605728149,37
2,1.0,VWAPvsSMA,poi,1.1459550070434024,"{'min_percentage': 0.0692822400555904, 'n_candles': 9.621923630331088}",26.98762475682812,8.799001932144165,37
0,1.0,VWAPvsSMA,ucb,1.2001603355575496,"{'min_percentage': 0.0, 'n_candles': 9.123817189993671}",25.378293381749174,11.061045169830322,39
1,1.0,VWAPvsSMA,ei,1.2001603355575496,"{'min_percentage': 0.0003800444849300755, 'n_candles': 9.867341874912771}",25.378293381749174,5.289001703262329,39
2,1.0,VWAPvsSMA,poi,1.1598342605438203,"{'min_percentage': 0.08993828819855644, 'n_candles': 8.587412115453152}",29.760330038052725,7.573001384735107,39
